Follower Athlete ID,Follow Status,Created At
53516930,Accepted,"14 Apr 2020, 12:13:55"
24405873,Accepted,"15 Apr 2020, 17:47:55"
4265545,Accepted,"16 Apr 2020, 11:07:39"
1903533,Accepted,"16 Apr 2020, 21:26:01"
23642079,Accepted,"19 Apr 2020, 09:44:36"
24149665,Accepted,"22 Apr 2020, 06:23:27"
3777125,Accepted,"24 Apr 2020, 10:26:42"
54212815,Accepted,"2 May 2020, 07:29:04"
19190557,Accepted,"3 May 2020, 17:46:26"
57453139,Accepted,"10 May 2020, 10:59:13"
14051830,Accepted,"13 May 2020, 08:56:23"
58053308,Accepted,"13 May 2020, 09:42:07"
16513424,Accepted,"2 Jun 2020, 17:38:11"
10299860,Accepted,"4 Jun 2020, 06:02:37"
43731086,Accepted,"13 Jun 2020, 11:21:56"
44543376,Accepted,"21 Jun 2020, 10:30:30"
19287980,Accepted,"2 Jul 2020, 21:00:21"
51775452,Accepted,"4 Jul 2020, 07:55:49"
13549725,Accepted,"6 Jul 2020, 17:39:05"
60333701,Accepted,"10 Jul 2020, 07:15:33"
17243105,Accepted,"14 Jul 2020, 07:45:41"
35924509,Accepted,"23 Jul 2020, 13:21:39"
64836464,Accepted,"28 Jul 2020, 13:50:24"
20525848,Accepted,"28 Jul 2020, 16:36:00"
62264396,Accepted,"30 Jul 2020, 16:23:43"
57021740,Accepted,"2 Aug 2020, 12:42:16"
66254782,Accepted,"31 Aug 2020, 05:34:09"
54643452,Accepted,"3 Sep 2020, 20:52:10"
56375669,Accepted,"9 Sep 2020, 21:18:09"
49557498,Accepted,"13 Sep 2020, 10:50:50"
6905373,Accepted,"19 Sep 2020, 14:20:31"
19436082,Accepted,"25 Sep 2020, 16:54:35"
12957925,Accepted,"26 Sep 2020, 14:48:47"
69095298,Accepted,"8 Oct 2020, 17:42:18"
61018535,Accepted,"11 Oct 2020, 10:10:22"
4721421,Accepted,"12 Oct 2020, 14:12:25"
53543258,Accepted,"17 Oct 2020, 13:09:28"
29947942,Accepted,"23 Oct 2020, 16:18:58"
50432879,Accepted,"24 Oct 2020, 08:23:56"
36129493,Accepted,"3 Nov 2020, 04:43:18"
31897648,Accepted,"3 Nov 2020, 14:24:57"
25486896,Accepted,"10 Nov 2020, 18:28:29"
13581511,Accepted,"19 Nov 2020, 07:09:40"
38358425,Accepted,"6 Dec 2020, 10:40:37"
16508341,Accepted,"12 Dec 2020, 09:22:19"
37214133,Accepted,"18 Dec 2020, 18:39:04"
19209623,Accepted,"21 Dec 2020, 17:19:11"
36417732,Accepted,"31 Dec 2020, 04:50:39"
54369814,Accepted,"2 Jan 2021, 20:54:30"
44171642,Accepted,"7 Jan 2021, 05:23:45"
9977254,Accepted,"9 Jan 2021, 19:29:45"
75589717,Accepted,"10 Jan 2021, 08:12:24"
17576867,Accepted,"14 Jan 2021, 12:41:22"
7839815,Accepted,"25 Jan 2021, 19:22:02"
34350291,Accepted,"30 Jan 2021, 20:26:55"
8014069,Accepted,"31 Jan 2021, 17:13:56"
12338290,Accepted,"7 Feb 2021, 08:39:08"
