hours,elevation,latitude,longitude,distance,power,power_zone,hr,hr_zone,cadence,cadence_zone,temperature
0.018333333333333333,250.6,47.984745,7.843414,0.5172922740137378,87,Zone 1,86,Zone 1,70,Zone 2,21
0.018611111111111113,250.8,47.984749,7.843502,0.5270986194409578,62,Zone 1,86,Zone 1,53,Zone 1,21
0.01888888888888889,250.8,47.984753,7.843592,0.5371276525927791,37,Zone 1,87,Zone 1,31,Zone 1,21
0.019166666666666665,250.8,47.984757,7.843679,0.5468228323793141,11,Zone 1,87,Zone 1,9,Zone 1,21
0.019444444444444445,251,47.984768,7.843764,0.5563625711757629,18,Zone 1,87,Zone 1,16,Zone 1,21
0.01972222222222222,251,47.984772,7.843849,0.5658353202657552,152,Zone 2,88,Zone 1,56,Zone 1,21
0.02,251,47.98478,7.843933,0.5752271471767386,182,Zone 2,88,Zone 1,64,Zone 1,21
0.020277777777777777,250.8,47.984783,7.844019,0.584806100576268,124,Zone 1,88,Zone 1,66,Zone 1,21
0.020555555555555556,250.8,47.984784,7.844108,0.594714163843972,163,Zone 2,88,Zone 1,70,Zone 2,21
0.020833333333333332,250.8,47.984791,7.844191,0.6039864495803892,183,Zone 2,88,Zone 1,68,Zone 1,21
0.021111111111111112,251,47.984799,7.844266,0.6123819146626683,225,Zone 3,88,Zone 1,69,Zone 1,21
0.02138888888888889,251,47.984803,7.844354,0.6221877995142863,226,Zone 3,88,Zone 1,67,Zone 1,21
0.021666666666666667,251.2,47.984806,7.844441,0.6318778536436898,217,Zone 3,88,Zone 1,67,Zone 1,21
0.021944444444444444,251.4,47.98481,7.844528,0.6415730334302246,170,Zone 2,88,Zone 1,67,Zone 1,21
0.02222222222222222,251.4,47.984807000000004,7.844618,0.6515975621878588,166,Zone 2,89,Zone 1,65,Zone 1,21
0.022500000000000003,251.6,47.984818,7.844698,0.6605854071345186,191,Zone 2,89,Zone 1,64,Zone 1,21
0.02277777777777778,251.8,47.984822,7.844775,0.6691691991739517,204,Zone 3,90,Zone 1,64,Zone 1,21
0.023055555555555555,252,47.984825,7.844854,0.6779696657090388,211,Zone 3,91,Zone 1,66,Zone 1,21
0.02333333333333333,252.2,47.984826,7.844932,0.686653373010488,203,Zone 3,92,Zone 1,65,Zone 1,21
0.023611111111111114,252.4,47.984833,7.845009,0.6952597602380842,222,Zone 3,93,Zone 1,65,Zone 1,21
0.02388888888888889,252.4,47.984836,7.845085,0.7037264722098083,215,Zone 3,94,Zone 1,66,Zone 1,21
0.024166666666666666,252.4,47.984833,7.845164,0.7125264255233447,200,Zone 3,96,Zone 1,66,Zone 1,21
0.024444444444444442,252.4,47.984829,7.845247,0.7217762778842398,218,Zone 3,97,Zone 1,65,Zone 1,21
0.024722222222222222,252.6,47.984825,7.845323,0.7302483225465296,228,Zone 3,98,Zone 1,66,Zone 1,21
0.025,252.8,47.984817,7.8454,0.738865198976346,207,Zone 3,99,Zone 1,65,Zone 1,21
0.025277777777777777,253,47.984809,7.845477,0.7474820754061623,226,Zone 3,101,Zone 1,66,Zone 1,21
0.025555555555555557,253.2,47.984801,7.84556,0.7567631246595397,213,Zone 3,102,Zone 1,67,Zone 1,21
0.025833333333333333,253.2,47.98479,7.845643,0.7660815692551192,202,Zone 3,102,Zone 1,67,Zone 1,21
0.02611111111111111,253.4,47.984775,7.845724,0.7752490246827203,198,Zone 2,103,Zone 1,69,Zone 1,21
0.02638888888888889,253.6,47.984759,7.845808,0.7847645876009726,192,Zone 2,103,Zone 1,69,Zone 1,21
0.02666666666666667,253.6,47.984736,7.84589,0.7942382902114353,179,Zone 2,103,Zone 1,70,Zone 2,21
0.026944444444444444,253.6,47.984717,7.845973,0.803712469546146,149,Zone 1,102,Zone 1,70,Zone 2,21
0.02722222222222222,253.4,47.984692,7.846057,0.8134615376660493,122,Zone 1,102,Zone 1,71,Zone 2,21
0.0275,253.4,47.98465,7.846145,0.8242975359629765,115,Zone 1,102,Zone 1,72,Zone 2,21
0.02777777777777778,253.4,47.984613,7.846221,0.8336903246093484,119,Zone 1,102,Zone 1,73,Zone 2,21
0.028055555555555556,253.4,47.984587,7.846304,0.8433645186289348,111,Zone 1,102,Zone 1,71,Zone 2,21
0.028333333333333332,253.4,47.984573,7.846379,0.8518552013327444,119,Zone 1,102,Zone 1,76,Zone 2,21
0.028611111111111108,253.4,47.984557,7.846457,0.8607144900419863,81,Zone 1,102,Zone 1,52,Zone 1,21
0.02888888888888889,253.4,47.984547,7.846528,0.8686940273851806,43,Zone 1,102,Zone 1,28,Zone 1,21
0.029166666666666667,253.4,47.98455,7.846594,0.876048556169597,0,Zone 1,102,Zone 1,3,Zone 1,22
0.029444444444444443,253.4,47.984547,7.84668,0.8856279810555244,0,Zone 1,102,Zone 1,0,Zone 1,22
0.029722222222222223,253.4,47.984547,7.846758,0.8943111682343472,0,Zone 1,102,Zone 1,0,Zone 1,22
0.030000000000000002,253.2,47.98455,7.84685,0.9045576099761389,0,Zone 1,101,Zone 1,0,Zone 1,22
0.03027777777777778,253.4,47.984548,7.846934,0.9139108863830617,0,Zone 1,100,Zone 1,0,Zone 1,22
0.030555555555555555,253.4,47.984562,7.847016,0.9231685478229004,0,Zone 1,99,Zone 1,0,Zone 1,22
0.030833333333333334,253.4,47.984566,7.847095,0.9319741449283149,0,Zone 1,99,Zone 1,0,Zone 1,22
0.03111111111111111,253.4,47.984566,7.847168,0.940100622632775,0,Zone 1,99,Zone 1,0,Zone 1,22
0.03138888888888889,253.4,47.984566,7.847239,0.9480045228438776,0,Zone 1,99,Zone 1,0,Zone 1,22
0.03166666666666666,253.6,47.98457,7.847301,0.9549210477386635,0,Zone 1,98,Zone 1,0,Zone 1,22
0.03194444444444445,253.6,47.984569,7.84735,0.960376636997953,0,Zone 1,98,Zone 1,0,Zone 1,22
0.03222222222222222,253.8,47.984565,7.847393,0.9651835274669386,0,Zone 1,97,Zone 1,2,Zone 1,22
0.0325,253.8,47.984558,7.847444,0.9709128915043335,71,Zone 1,95,Zone 1,11,Zone 1,22
0.032777777777777774,253.8,47.984563,7.8475,0.9771712234259645,177,Zone 2,94,Zone 1,31,Zone 1,22
0.03305555555555555,253.8,47.984574,7.847563,0.9842885674550481,283,Zone 3,92,Zone 1,48,Zone 1,22
0.03333333333333333,253.8,47.984586,7.847633,0.9921924676661507,303,Zone 4,91,Zone 1,56,Zone 1,22
0.03361111111111111,253.8,47.984601,7.847702,1.0000493716070138,268,Zone 3,89,Zone 1,52,Zone 1,22
0.033888888888888885,253.8,47.984609,7.847778,1.0085554663222809,208,Zone 3,89,Zone 1,42,Zone 1,22
0.034166666666666665,253.8,47.98462,7.847859,1.017653687629179,148,Zone 1,89,Zone 1,32,Zone 1,22
0.03444444444444445,253.6,47.984635,7.847938,1.0266022511693884,88,Zone 1,91,Zone 1,23,Zone 1,22
0.034722222222222224,253.6,47.984646,7.848018,1.0355900961160482,241,Zone 3,93,Zone 1,67,Zone 1,22
0.035,253.6,47.984654,7.848102,1.0449824039070357,235,Zone 3,94,Zone 1,68,Zone 1,22
0.035277777777777776,253.6,47.984666,7.848183,1.0540960009634759,220,Zone 3,96,Zone 1,68,Zone 1,22
0.035555555555555556,253.8,47.984677,7.848266,1.0634149302257705,237,Zone 3,99,Zone 1,69,Zone 1,22
0.035833333333333335,253.8,47.984685,7.84835,1.072806757136754,219,Zone 3,100,Zone 1,68,Zone 1,22
0.03611111111111111,253.8,47.984696,7.848441,1.0830090253596036,222,Zone 3,102,Zone 1,68,Zone 1,22
0.03638888888888889,253.8,47.984704,7.848526,1.0925122396509477,213,Zone 3,103,Zone 1,68,Zone 1,22
0.03666666666666667,254,47.984711,7.848609,1.1017840382824429,198,Zone 2,105,Zone 1,68,Zone 1,22
0.036944444444444446,254,47.984723,7.84869,1.1108981308989312,211,Zone 3,106,Zone 1,67,Zone 1,22
0.037222222222222226,254.2,47.984734,7.848768,1.119665690689998,236,Zone 3,106,Zone 1,67,Zone 1,22
0.0375,254.4,47.984746,7.848848,1.128669601510182,227,Zone 3,107,Zone 1,67,Zone 1,22
0.03777777777777778,254.6,47.984754,7.848925,1.1372864779399983,222,Zone 3,107,Zone 1,67,Zone 1,22
0.03805555555555555,254.8,47.984765,7.848999,1.1456133413213694,216,Zone 3,108,Zone 1,67,Zone 1,22
0.03833333333333333,254.8,47.984773,7.849082,1.1548948771941865,223,Zone 3,108,Zone 1,68,Zone 1,22
0.03861111111111112,255,47.984784,7.84917,1.1647659486466926,206,Zone 3,109,Zone 1,68,Zone 1,22
0.03888888888888889,255.2,47.984795,7.849254,1.1741952105519484,182,Zone 2,110,Zone 2,68,Zone 1,22
0.03916666666666667,255.2,47.984803,7.849337,1.1834767464247653,190,Zone 2,110,Zone 2,68,Zone 1,22
0.03944444444444444,255.2,47.984815,7.849418,1.1925898478942094,203,Zone 3,110,Zone 2,67,Zone 1,22
0.03972222222222222,255.2,47.984826,7.849497,1.201466961639715,207,Zone 3,110,Zone 2,67,Zone 1,22
0.04,255.4,47.984837,7.849576,1.2103445841460736,194,Zone 2,111,Zone 2,68,Zone 1,22
0.040277777777777773,255.4,47.984841,7.849659,1.2195949247675386,179,Zone 2,111,Zone 2,68,Zone 1,22
0.04055555555555555,255.6,47.984849,7.849743,1.228987232558526,179,Zone 2,111,Zone 2,68,Zone 1,22
0.04083333333333334,255.8,47.984856,7.849824,1.2380376729418119,174,Zone 2,110,Zone 2,68,Zone 1,22
0.04111111111111111,256,47.984864,7.849912,1.247873450347956,182,Zone 2,110,Zone 2,69,Zone 1,22
0.04138888888888889,256.2,47.984876,7.849995,1.2572069079087287,172,Zone 2,110,Zone 2,68,Zone 1,22
0.041666666666666664,256.2,47.984887,7.850079,1.2666356908186878,165,Zone 2,109,Zone 1,69,Zone 1,22
0.041944444444444444,256.2,47.984899,7.850164,1.2761900948640656,167,Zone 2,109,Zone 1,69,Zone 1,22
0.042222222222222223,256.2,47.98491,7.850244,1.2851779398107255,196,Zone 2,109,Zone 1,69,Zone 1,22
0.042499999999999996,256.2,47.984921,7.850329,1.2947176786071746,190,Zone 2,108,Zone 1,70,Zone 2,22
0.04277777777777778,256.4,47.984929,7.850415,1.3043314595451465,168,Zone 2,108,Zone 1,69,Zone 1,22
0.043055555555555555,256.4,47.98494,7.850503,1.3142025309976528,182,Zone 2,108,Zone 1,69,Zone 1,22
